,FileName,Folder,Edges,Nodes,Density,Avg. Path Length,Assortativity,Diameter,Transitivity,Min. Degree,Avg. Degree,Max. Degree,Time
54,airports_UW.net,real,14142,3618,0.0022,4.4396,0.0462,17,0.6228,1,7.8176,250,2.1389
55,PGP.net,real,24340,10680,0.0004,7.4855,0.2395,24,0.4403,1,4.5581,206,16.7579
56,rb25.net,toy,66,25,0.22,2.0333,-0.1635,4,0.9023,4,5.28,20,0.0076
57,wheel.net,toy,16,9,0.4444,1.5556,-0.3333,2,0.6243,3,3.5556,8,0.0009
58,graph3+1+3.net,toy,8,7,0.381,2.1905,-0.6,4,0.6667,2,2.2857,3,0.001
59,20x2+5x2.net,toy,404,50,0.3298,2.3878,0.9186,4,0.9716,4,16.16,22,0.0133
60,graph4+4.net,toy,13,8,0.4643,1.8571,-0.0833,3,0.875,3,3.25,4,0.0076
61,grid-p-6x6.net,toy,72,36,0.1143,3.0857,,6,0.0,4,4.0,4,0.006
62,star.net,toy,8,9,0.2222,1.7778,-1.0,2,0.0,1,1.7778,8,0.002
63,circle9.net,toy,9,9,0.25,2.5,,4,0.0,2,2.0,2,0.0011
64,SF_1000_g2.5.net,model,1905,1000,0.0038,4.6149,0.02,10,0.0096,2,3.81,30,0.1609508991241455
65,SF_1000_g2.7.net,model,1668,1000,0.0033,5.4688,-0.002,12,0.0067,2,3.3360000000000003,24,0.1224067211151123
66,homorand_N1000_K6_0.net,model,2994,1000,0.006,4.1913,0.1919,6,0.0038,5,5.988,6,0.1793978214263916
67,homorand_N1000_K4_0.net,model,2000,1000,0.004,5.64,,9,0.002,4,4.0,4,0.14121198654174805
68,ER1000k8.net,model,3956,1000,0.0079,3.5698,-0.0168,6,0.0081,1,7.912000000000001,17,0.5132460594177246
69,SF_1000_g3.0.net,model,1517,1000,0.003,5.9651,-0.0085,13,0.0052,2,3.034,26,0.23246192932128906
70,ws2000.net,model,6000,2000,0.003,4.5111,-0.0762,7,0.0033,3,6.0,13,0.7170450687408447
71,BA1000.net,model,3990,1000,0.008,3.1833,-0.0542,5,0.0354,4,7.98,115,0.1603071689605713
72,256_4_4_4_13_18_p.net,model,4598,256,0.1409,2.6511,0.0007,4,0.5113,20,35.9219,50,0.06261205673217772
73,ER5000k8.net,model,19980,5000,0.0016,4.3797,-0.0555,6,0.0014,4,7.992000000000001,17,4.143395185470581
74,SF_500_g2.7.net,model,859,500,0.0069,4.8759,-0.0256,12,0.0078,2,3.4360000000000004,22,0.040850162506103516
75,256_4_4_2_15_18_p.net,model,4548,256,0.1393,2.7821,0.0286,5,0.7331,30,35.5312,46,0.03736400604248047
76,rb125.net,model,426,125,0.055,2.3032,-0.1837,4,0.8373,4,6.816,100,0.05620884895324707
77,ws1000.net,model,3000,1000,0.006,4.0913,-0.0999,6,0.0044,3,6.0,13,0.3841309547424317
0,zachary_unwh.net,real,78,34,0.139,2.4082,-0.4756,5,0.5879,1,4.5882,17,0.0022
1,dolphins.net,real,159,62,0.0841,3.3569999999999998,-0.0436,8,0.3029,1,5.129,12,0.0032
2,airports_UW.net,real,14142,3618,0.0022,4.4396,0.0462,17,0.6228,1,7.8176,250,2.0039
3,PGP.net,real,24340,10680,0.0004,7.4855,0.2395,24,0.4403,1,4.5581,206,14.3919
0,rb25.net,toy,66,25,0.22,2.0333,-0.1635,4,0.9023,4,5.28,20,0.0035
1,wheel.net,toy,16,9,0.4444,1.5556,-0.3333,2,0.6243,3,3.5556,8,0.0012
2,graph3+1+3.net,toy,8,7,0.381,2.1905,-0.6,4,0.6667,2,2.2857,3,0.0013
3,20x2+5x2.net,toy,404,50,0.3298,2.3878,0.9186,4,0.9716,4,16.16,22,0.0057
4,graph4+4.net,toy,13,8,0.4643,1.8571,-0.0833,3,0.875,3,3.25,4,0.0086
5,grid-p-6x6.net,toy,72,36,0.1143,3.0857,,6,0.0,4,4.0,4,0.0019
6,star.net,toy,8,9,0.2222,1.7778,-1.0,2,0.0,1,1.7778,8,0.0013
7,circle9.net,toy,9,9,0.25,2.5,,4,0.0,2,2.0,2,0.0011
0,SF_1000_g2.5.net,model,1905,1000,0.0038,4.6149,0.02,10,0.0096,2,3.81,30,0.1801
1,SF_1000_g2.7.net,model,1668,1000,0.0033,5.4688,-0.002,12,0.0067,2,3.3360000000000003,24,0.2054
2,homorand_N1000_K6_0.net,model,2994,1000,0.006,4.1913,0.1919,6,0.0038,5,5.9879999999999995,6,0.1273
3,homorand_N1000_K4_0.net,model,2000,1000,0.004,5.64,,9,0.002,4,4.0,4,0.1173
4,ER1000k8.net,model,3956,1000,0.0079,3.5698,-0.0168,6,0.0081,1,7.912000000000001,17,0.1703
5,SF_1000_g3.0.net,model,1517,1000,0.003,5.9651,-0.0085,13,0.0052,2,3.034,26,0.1097
6,ws2000.net,model,6000,2000,0.003,4.5111,-0.0762,7,0.0033,3,6.0,13,0.4443
7,BA1000.net,model,3990,1000,0.008,3.1833,-0.0542,5,0.0354,4,7.98,115,0.135
8,256_4_4_4_13_18_p.net,model,4598,256,0.1409,2.6511,0.0007,4,0.5113,20,35.9219,50,0.0288
9,ER5000k8.net,model,19980,5000,0.0016,4.3797,-0.0555,6,0.0014,4,7.992000000000001,17,3.3624
10,SF_500_g2.7.net,model,859,500,0.0069,4.8759,-0.0256,12,0.0078,2,3.4360000000000004,22,0.0649
11,256_4_4_2_15_18_p.net,model,4548,256,0.1393,2.7821,0.0286,5,0.7331,30,35.5312,46,0.0241
12,rb125.net,model,426,125,0.055,2.3032,-0.1837,4,0.8373,4,6.816,100,0.0041
13,ws1000.net,model,3000,1000,0.006,4.0913,-0.0999,6,0.0044,3,6.0,13,0.1213
