,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
72,AIN,3,3.0,1.0,6.72035512,14.0,2.799e-05,0.0,0.00021498
73,AIR,2,2.0,1.0,7.7701465,15.0,1.77e-06,0.0,0.00018617
74,AIT,1,1.0,,6.12956508,13.0,0.00024458,0.0,9.264e-05
75,AIU,2,2.0,1.0,6.12943054,13.0,0.00024908,0.0,0.00015661
76,AIY,9,9.0,0.72222222,5.87025681,13.0,0.0405287,2.15652432,0.00020127
77,AJA,5,5.0,0.8,5.22374234,12.0,0.03213605,0.30874811,0.0001366
78,AJF,8,8.0,0.71428571,5.60845067,12.0,0.01016156,1062.99268355,0.00024308
79,AJI,1,1.0,,6.28154956,13.0,0.00306243,0.0,6.923e-05
80,AJL,2,2.0,1.0,5.91521369,12.0,0.00102746,0.0,0.00011326
81,AJR,2,2.0,1.0,5.68596935,13.0,0.00778883,0.0,0.00011528
82,AJU,5,5.0,0.6,5.93743681,13.0,0.00302093,119.45306371,0.0001911
83,AKA,1,1.0,,6.28023936,13.0,0.00074368,0.0,6.18e-05
84,AKB,1,1.0,,6.73041564,14.0,2.515e-05,0.0,0.00012049
85,AKF,1,1.0,,6.29367382,13.0,0.00142869,0.0,6.553e-05
86,AKG,2,2.0,0.0,9.7260135,14.0,0.0,3.0,0.00023768
87,AKI,2,2.0,0.0,7.72690347,15.0,4.7e-07,1.0,0.00021439
88,AKJ,3,3.0,0.66666667,5.32128479,12.0,0.0133118,0.04255319,0.0001137
89,AKL,44,44.0,0.17230444,4.86558812,11.0,0.05759775,127864.93601907,0.0017916
90,AKN,6,6.0,0.13333333,5.7301686,13.0,0.00144053,18091.33333333,0.00052229
91,AKP,3,3.0,1.0,6.74765896,14.0,0.0001334,0.0,0.00021142
92,AKS,1,1.0,,7.16975095,11.0,2.089e-05,0.0,0.00010849
93,AKU,1,1.0,,7.72663167,14.0,1.107e-05,0.0,0.00012267
94,AKV,2,2.0,0.0,7.86323006,15.0,2.06e-06,1806.23333333,0.00019853
95,AKX,1,1.0,,5.89733069,13.0,0.00236896,0.0,6.417e-05
96,AKY,3,3.0,1.0,6.33102229,12.0,0.00049587,0.0,0.0001672
97,ALA,29,29.0,0.30788177,4.89737896,12.0,0.13337394,18630.77267388,0.00077483
98,ALB,23,23.0,0.73913043,5.66423621,13.0,0.13994856,2211.91053593,0.00047446
99,ALC,35,35.0,0.63529412,5.21669487,12.0,0.2503666,593.98063114,0.00066809
100,ALF,6,6.0,0.6,7.26682727,14.0,0.00011278,2106.58809524,0.00031627
101,ALG,56,56.0,0.19350649,5.2317143,12.0,0.20685024,68145.62663728,0.00152807
102,ALH,2,2.0,1.0,5.95893076,12.0,0.00079969,0.0,0.00014142
103,ALJ,1,1.0,,8.12258026,15.0,3.3e-07,0.0,0.00014141
104,ALM,2,2.0,1.0,5.95660759,13.0,0.00261597,0.0,0.00011464
105,ALO,4,4.0,0.5,5.46784381,13.0,0.02603337,1974.12307065,0.00014719
106,ALP,15,15.0,0.81904762,5.32645071,12.0,0.13832626,14.84724593,0.00032469
107,ALS,1,1.0,,5.81798729,13.0,0.00609709,0.0,6.676e-05
108,ALW,2,2.0,1.0,5.71932577,13.0,0.00595398,0.0,9.711e-05
109,AMA,5,5.0,1.0,5.5567497,13.0,0.03212609,0.0,0.00015054
110,AMD,9,9.0,0.52777778,5.77866437,12.0,0.01608274,63.35418235,0.00027571
111,AMH,2,2.0,0.0,6.27930581,13.0,0.00168892,3616.0,0.00016887
112,AMI,6,6.0,0.4,5.74984497,11.0,0.00574332,4037.03031926,0.00028318
113,AMM,50,50.0,0.42285714,5.18226411,12.0,0.28670462,5422.74855242,0.00106591
114,AMQ,2,2.0,1.0,6.75319687,12.0,0.00012688,0.0,0.00012874
115,AMS,192,192.0,0.14283377,4.2099746,11.0,0.85577995,264799.7485435,0.00401098
116,AMV,1,1.0,,7.39862469,14.0,4.86e-06,0.0,0.0001205
117,AMY,2,2.0,0.0,6.1866339,13.0,0.00052387,3594.81640622,0.00013978
118,ANC,39,39.0,0.07962213,4.73097143,12.0,0.07816667,533124.72213376,0.00201915
119,ANE,1,1.0,,6.21170719,13.0,0.00189759,0.0,6.39e-05
120,ANF,5,5.0,0.5,6.64002061,14.0,0.00169633,5.5,0.00025971
121,ANG,1,1.0,,6.21170719,13.0,0.00189759,0.0,6.39e-05
122,ANI,9,9.0,0.08333333,5.72625136,13.0,0.00141856,36062.83333333,0.00067373
123,ANK,44,44.0,0.17970402,5.28157282,12.0,0.17241711,40517.2126647,0.00143739
124,ANM,5,5.0,0.7,6.19170115,13.0,0.00056942,532.26797357,0.00024995
125,ANR,3,3.0,1.0,5.21764978,12.0,0.04027498,0.0,9.425e-05
126,ANU,21,21.0,0.38571429,5.02888907,12.0,0.08175144,5138.9626489,0.00051616
127,ANV,2,2.0,0.0,7.72599308,15.0,4.6e-07,1.0,0.00021838
128,ANX,4,4.0,0.66666667,7.26425932,14.0,0.00021418,9.08333333,0.0002336
129,AOI,4,4.0,1.0,5.21985628,12.0,0.05272723,0.0,0.00011351
130,AOJ,7,7.0,0.95238095,5.25867923,12.0,0.02109196,0.04255319,0.00021166
131,AOK,3,3.0,0.33333333,5.42208688,12.0,0.00969659,3616.0,0.00015799
132,AOL,1,1.0,,5.59012151,13.0,0.00321543,0.0,7.49e-05
133,AOO,4,4.0,0.5,5.81733853,13.0,0.0074745,1.5,0.00019319
134,AOR,1,1.0,,5.72804252,12.0,0.00450302,0.0,6.696e-05
135,AOT,4,4.0,0.83333333,5.30270297,12.0,0.03121756,21.04489823,0.00012018
136,APF,4,4.0,1.0,5.89729343,13.0,0.02140196,0.0,0.00011975
137,APL,5,5.0,0.5,6.26718736,13.0,0.00062164,73.01939142,0.00024436
138,APN,2,2.0,0.0,5.58239502,13.0,0.00823977,3616.0,0.00014875
139,APO,2,2.0,1.0,6.86227238,14.0,0.00033864,0.0,0.00011797
140,APW,6,6.0,0.4,5.11691145,12.0,0.01078079,7242.07363453,0.00030258
141,AQG,2,2.0,1.0,5.62698976,12.0,0.00700335,0.0,8.309e-05
142,AQI,4,4.0,0.33333333,5.61957653,12.0,0.00871495,3627.72558339,0.00018473
143,AQJ,5,5.0,0.7,5.35114971,12.0,0.05122569,1.52433275,0.00013499
144,AQP,4,4.0,0.33333333,5.96203503,13.0,0.00221549,3617.0,0.00024842
145,ARC,3,3.0,1.0,7.74815726,15.0,7.25e-06,0.0,0.00020269
146,ARH,4,4.0,0.5,5.39875443,12.0,0.01541583,7230.0,0.00019812
147,ARI,2,2.0,0.0,6.8567096,14.0,0.00023773,1.9,0.0001213
148,ARK,5,5.0,0.4,6.17203748,13.0,0.00083051,3621.18633034,0.00025956
149,ARM,5,5.0,0.5,5.88254283,11.0,0.00241073,4560.61858374,0.00026023
150,ARP,2,2.0,1.0,8.72869061,13.0,5e-08,0.0,0.00019108
151,ARR,1,1.0,,7.58747574,15.0,1.16e-06,0.0,0.00012319
152,ART,3,3.0,0.33333333,5.81731546,13.0,0.00709421,7230.0,0.00021199
153,ARU,3,3.0,0.66666667,5.77253078,13.0,0.00486204,3.33333333,0.00015251
154,ARW,2,2.0,0.0,6.43222234,13.0,0.01308101,0.36275132,7.756e-05
155,ASA,1,1.0,,6.69168559,13.0,0.00029558,0.0,7.089e-05
156,ASB,15,15.0,0.4952381,5.0570457,12.0,0.09266147,802.60254286,0.00036543
157,ASD,2,2.0,1.0,6.03713668,13.0,0.00248941,0.0,0.00012199
158,ASE,2,2.0,1.0,5.7240607,13.0,0.0124386,0.0,8.751e-05
159,ASF,1,1.0,,6.37099178,13.0,0.00566627,0.0,6.142e-05
160,ASI,2,2.0,0.0,9.65086015,17.0,3e-08,3616.0,0.00025657
161,ASJ,7,7.0,0.42857143,5.31811887,12.0,0.01241965,3139.85504022,0.00027106
162,ASM,7,7.0,0.52380952,5.69171245,12.0,0.01664149,3628.88560024,0.00024241
163,ASO,4,4.0,0.33333333,7.27923059,14.0,6.343e-05,10.66666667,0.00027379
164,ASP,9,9.0,0.47222222,5.81751119,11.0,0.00411284,4098.28313739,0.00043553
165,ASR,1,1.0,,5.69012584,13.0,0.00951262,0.0,6.186e-05
166,ASU,8,8.0,0.42857143,5.56861137,13.0,0.01039797,7534.70168926,0.00036174
167,ASV,1,1.0,,6.16872881,13.0,0.00234472,0.0,6.937e-05
168,ASW,4,4.0,0.5,5.26356215,12.0,0.02578625,3616.0,0.00016626
169,ATC,1,1.0,,6.03715632,13.0,0.00244519,0.0,7.014e-05
170,ATD,1,1.0,,7.16975095,11.0,2.089e-05,0.0,0.00010849
171,ATH,95,95.0,0.20918253,4.42208693,11.0,0.4326427,107842.2591167,0.00260111
172,ATK,3,3.0,1.0,6.72035512,14.0,2.799e-05,0.0,0.00021498
173,ATL,172,172.0,0.1378349,4.52885451,12.0,0.60864673,162809.45400881,0.00381899
174,ATM,2,2.0,1.0,6.87415271,14.0,0.00022169,0.0,0.00013064
175,ATN,3,3.0,0.66666667,7.72806148,12.0,5.64e-06,7.08333333,0.00022166
176,ATP,2,2.0,0.0,8.72609274,13.0,5e-08,3616.5,0.00021595
177,ATQ,5,5.0,0.6,5.77266031,12.0,0.01103029,26.63007596,0.00016509
178,ATT,2,2.0,0.0,6.72703283,14.0,2.586e-05,1807.5,0.00018632
179,ATW,9,9.0,0.75,5.51088895,13.0,0.04222556,7.51290315,0.000231
180,ATY,1,1.0,,6.62808613,14.0,0.00012658,0.0,9.359e-05
181,ATZ,3,3.0,0.66666667,5.68261965,12.0,0.00993451,0.76666667,0.00011882
182,AUA,23,23.0,0.38339921,4.88661308,12.0,0.09703355,6258.41425523,0.00061668
183,AUC,1,1.0,,5.96182028,13.0,0.00247156,0.0,7.176e-05
