,FileName,Folder,Edges,Nodes,Density,Avg. Path Length,Assortativity,Diameter,Transitivity,Min. Degree,Avg. Degree,Max. Degree,Time
0,rb25.net,toy,66,25,0.22,2.0333,-0.1635,4,0.9023,4,5.28,20,0.0076
1,wheel.net,toy,16,9,0.4444,1.5556,-0.3333,2,0.6243,3,3.5556,8,0.0009
2,graph3+1+3.net,toy,8,7,0.381,2.1905,-0.6,4,0.6667,2,2.2857,3,0.001
3,20x2+5x2.net,toy,404,50,0.3298,2.3878,0.9186,4,0.9716,4,16.16,22,0.0133
4,graph4+4.net,toy,13,8,0.4643,1.8571,-0.0833,3,0.875,3,3.25,4,0.0076
5,grid-p-6x6.net,toy,72,36,0.1143,3.0857,,6,0.0,4,4.0,4,0.006
6,star.net,toy,8,9,0.2222,1.7778,-1.0,2,0.0,1,1.7778,8,0.002
7,circle9.net,toy,9,9,0.25,2.5,,4,0.0,2,2.0,2,0.0011
